JobRefNo,DigerPozisyon,Qualifications,sub-classification
3412082,Temizlik Görevlisi,"<p>AKIN DİL EĞİTİM İSTANBUL</p><p>Kadıköy Şubemiz için, kursumuzun temizlik işlerini üstlenebilecek bir ekip arkadaşı aramaktayız.<br></p><p>Aranan nitelikler:</p><ul><li>Esnek çalışma saatleri ve vardiyalı çalışma sistemine uyabilecek,</li><li>Tercihen daha önceden kurs / dershane temizliği konusunda tecrübesi olan,</li><li>Verilen görevleri tam zamanında ve eksiksiz bir şekilde yerine getirebilecek,</li><li>Güvenilir ve ekip çalışmasına uyumlu,</li><li>Dış görünüşüne dikkat eden,</li><li>İş disiplini konusunda özenli,</li><li>Enerjik ve güler yüzlü bir şekilde iletişim kurabilecek</li><li>Uzun bir süre boyunca iş değiştirme niyeti olmadan çalışmak niyetinde olan takım arkadaşları arıyoruz.</li></ul>",Temizlik Hizmetleri
3412075,Mutfak Şefi Yardımcısı,"<p>Siesta Podyumpark bünyesinde&nbsp;değerlendirilmek üzere;</p><ul type=""disc"" color=""""><li>Tercihen Gastronomi - Aşçılık Lisans/ Meslek Yüksek Okulu veya Aşçılık Meslek Lisesi mezunu,</li><li>Restoran mutfaklarında en az 3 yıl deneyime sahip (tercihen zincir restoranlarda),</li><li>Maliyet kontrol ve reçetelendirme konusunda deneyimli,</li><li>Misafir memnuniyetini ön planda tutan,</li><li>Gıda güvenliği (HACCP) uygulamaları konusunda deneyimli ve Hijyen belgesine sahip,</li><li>Prosedürlere ve talimatlara uyan,</li><li>Marka değerini doğru şekilde temsil edebilen,</li><li>Kişisel temizliğine ve hijyen kurallarına önem veren, insan ilişkileri kuvvetli, ekip çalışmasına yatkın,</li><li>Problem çözme ve takip yeteneği gelişmiş,</li><li>Vardiya sisteminde yoğun iş temposuna ve esnek çalışma saatlerine uyum sağlayabilen,</li><li>Sıcak, soğuk ve ızgara bölümlerine hakim,</li><li>İşini severek yapan, güler yüzlü,</li></ul><p>Ekibimize&nbsp;Mutfak Şefi ve Mutfak Şefi Yardımcısı olarak değer katacak çalışma arkadaşları aramaktayız.</p>",Mutfak Hizmetleri
3412074,Aşçı Yardımcısı,"<p>Günlük personel yemeği ve meze imalatı yapılan mutfağımıza aşçı yardımcısı olarak çalışacak personel alınacaktır. Üretim hazırlığı yanında , temizlik, bulaşık ve üretime yardımcı olacak personel aramaktayız.&nbsp;&nbsp;</p>",Aşçılık
3412060,Güzellik Uzmanı,"<p>İstanbul genelinde birçok ilçede şubesi bulunan merkezimizde uygun lokasyonlarda görevlendirilmek üzere aşağıdaki niteliklere sahip tecrübeli/tecrübesiz BAY/BAYAN estetisyen çalışma arkadaşları aramaktayız:&nbsp;</p><p>-Güler yüzlü, sabırlı; medikal estetik konularında bilgi ve deneyim sahibi ,</p><p>-Güzellik uzmanlığı sertifikası bulunan veya Saç Bakımı ve Güzellik bölümü Meslek Yüksek Okulu mezunu,</p><p>-Satış konusunda kendine güvenen ,</p><p>-Yoğun tempoya ayak uydurabilecek ,</p><p>-Bay/Bayan</p>",Cilt Bakımı ve Güzellik
3412034,Aşçıbaşı Yardımcısı,"<p class=""x_MsoNormal"">Misafirlerine en iyi hizmeti sunma hedefiyle 2022 yılında hizmete aldığımız Sultanahmet’teki &nbsp;14 odalı Saratoga butik otelimiz için 07:00 – 16:00 saatleri arasında sabah kahvaltısı hazırlamak ve sonrasında otel misafirlerinin yiyecek içecek ihtiyaçlarının karşılanmasını sağlayacak mutfak bölümüne &nbsp;aşçı alınacaktır.</p><p class=""x_MsoNormal"">-&nbsp; Tercihen meslek yüksek okullarının veya liselerin Mutfak, Aşçılık ya da Gastronomi bölümlerinden mezun,</p><p class=""x_MsoNormal"">- Tercihen açık büfe kahvaltı alanında minimum 1 yıl deneyim sahibi,</p><p class=""x_MsoNormal"">-&nbsp; Kişisel hijyenine, dış görünümüne özen gösteren, güler yüzlü, diksiyonu düzgün, enerjik</p><p class=""x_MsoNormal"">-&nbsp; İnsan ilişkilerinde başarılı, misafir memnuniyeti odaklı çalışan,</p><p class=""x_MsoNormal"">-&nbsp; Mutfak prosedürleri ve hizmet standartları hakkında bilgi sahibi,</p><p class=""x_MsoNormal"">-&nbsp; Mutfak konusundaki kalite standartlarına, Gıda Güvenliği ve hijyen kurallarına hâkim,</p><p class=""x_MsoNormal"">-&nbsp; MEB Onaylı Hijyen Sertifikasına sahip.</p><p class=""x_MsoNormal"">-&nbsp; Yiyecek içecek sektöründe kariyer hedefleyen,</p><p class=""x_MsoNormal"">-&nbsp; Standartlara ve reçetelere uygun ürün hazırlayabilecek,</p><p class=""x_MsoNormal"">-&nbsp; Esnek çalışma saatlerine uyum sağlayabilecek,</p><p class=""x_MsoNormal"">-&nbsp; Tercihen meze bilgisi olan,</p><p class=""x_MsoNormal"">-&nbsp; Stok takibi yapabilecek,</p><p class=""x_MsoNormal"">-&nbsp; Çalıştığı mutfağın temizlik ve düzeninden sorumlu olabilecek. Takım arkadaşları aramaktayız.</p>",Aşçılık
3412010,Izgara ve Kebap Ustası,"<p class=""x_x_x_MsoNormal""><strong>Kocaeli Çayırova bölgesinde bulunan Sektörde lider olan Restoranımızda görev alabilecek &nbsp;IZGARA ve KEBAP USTASI aranmaktadır.</strong></p><ul type=""disc""><li class=""x_x_x_MsoNormal""><strong>Izgara ve kebap&nbsp; hazırlık mutfağında&nbsp; tecrübe sahibi</strong><strong></strong></li><li class=""x_x_x_MsoNormal""><strong>Otel ve restoran mutfaklarında ızgara bölümünde çalışmış,</strong></li><li class=""x_x_x_MsoNormal""><strong>İşini severek yapan ve yeni tatlar oluşturabilen</strong></li><li class=""x_x_x_MsoNormal""><strong>Ekip çalışmasına uygun hareket eden,</strong></li><li class=""x_x_x_MsoNormal""><strong>Dinamik, takım çalışmasına yatkın Stres yönetimi ve zaman programlamasında başarılı</strong><strong></strong></li><li class=""x_x_x_MsoNormal""><strong>Gıda hijyenine önem veren </strong></li><li class=""x_x_x_MsoNormal""><strong>Ekip çalışmasına uygun hareket eden, 8 saat üzerinden vardiyalı sistemde çalışabilecek,</strong></li><li class=""x_x_x_MsoNormal""><strong>Yoğun iş temposuna ayak uydurabilen,</strong>&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;<strong></strong></li></ul><p></p><p class=""x_x_x_MsoNormal"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;Ekibimize IZGARA ve KEBAP USTASI olarak değer katacak&nbsp; çalışma arkadaşları aramaktayız.</p><p class=""x_x_x_MsoNormal""></p>",Gıda
3411999,Güzellik Uzmanı,<p>YENİ AÇILACAK OLAN GÜZELLİK MERKEZİMİZ İÇİN DENEYİMLİ BAYAN ARKADAŞLAR ARIYORUZ TERCİHEN LİSE MEZUNU EN AZ 2 YIL DENEYİMLİ ULAŞIM PROBLEMİ OLMAYAN DIŞ GÖRÜNÜMÜNE ÖZEN GÖSTEREN GÜLER YÜZLÜ MÜŞTERİ İLİŞKİLERİ İYİ OLAN ARKADAŞLAR ARIYORUZ&nbsp;</p>,Cilt Bakımı ve Güzellik
3411998,Estetisyen (Spa),"<p class=""x_MsoNormal"">&nbsp;</p><p class=""x_MsoNormal""><strong>NIRVANA HOTELS</strong>&nbsp;Markamızın yenilenen lüks konsepti ile misafirlerimize sunacağımız ayrıcalıklı tatil deneyim süreçlerine eşlik ederek&nbsp; otellerimizin SPA departmanında görev alacak&nbsp; “Estetisyen ” arıyoruz.</p><p class=""x_MsoNormal""></p><ul><li><span>&nbsp; &nbsp; &nbsp; </span><span>5 yıldızlı otellerde konusuyla ilgili en az 3 yıl deneyim sahibi,</span></li><li>&nbsp; &nbsp; &nbsp;&nbsp;Kalfalık, Ustalık, Usta-Öğretici ya da Estetisyen belgesine sahip,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;İngilizce, Almanca veya Rusça dillerinden en az birine&nbsp; ana dil seviyesinde hakim (ikinci yabancı dil bilgisi tercih sebebidir),</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Misafir ilişkileri, satış ve pazarlama konularında başarılı,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Kozmetik satış becerisi yüksek,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Takım çalışmasına yatkın,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Güler yüzlü ve pozitif,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Dış görünümüne önem veren,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Ahlaki ve profesyonel değerler doğrultusunda çalışmayı benimsemiş,</li><li>&nbsp; &nbsp; &nbsp;&nbsp;Esnek çalışma saatlerine uyumlu, ekip arkadaşı arıyoruz.</li></ul><p></p><p class=""x_MsoNormal""></p>",Masaj / Spa Hizmetleri
3411995,Demi Chef,"<p>MOOD UP GIDA' da heyecan verici bir fırsat sizi bekliyor!</p><p color="""">Yiyecek - İçecek alanındaki kariyerinize bizimle devam etmek ister misiniz ?</p><p>Yaratıcı insanlarla çalışmaya hevesli <strong>Demi Chef </strong>arıyoruz!</p><p>İstanbul Havalimanı -Dış Hatlar Bölgesinde açılacak olan Restaurantlarımız ve Coffe Shop noktalarımız için&nbsp;<strong>Demi Chef&nbsp;</strong>arayışımız bulunmaktadır.</p><p class=""x_x_x_x_x_x_MsoNormal"">Aranılan Nitelikler:</p><ul color=""""><li>&nbsp; &nbsp; &nbsp; &nbsp;İlgili Lise, MYO veya Üniversitelerden mezun,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Alanında en az 3-5 yıl deneyim sahibi,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Türk ve Dünya mutfağına hakim,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Sıcak / Soğuk mutfak bilgisine sahip ve yaratıcı,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Kalite standartlarına ve hijyen kurallarına önem veren,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Öğrenmenin sonu olmadığına inanan ve öğretmekten keyif alan,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Kusursuz hizmet tutkusuyla çalışarak Divan markasını temsil edecek,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Geri bildirimi hediye olarak gören,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Emek vereni ve değer katanı takdir eden,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Takım çalışmasının gücüne inanan,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Erkek adaylar için askerlik ile ilişiği olmayan</li></ul><p class=""x_x_x_x_x_x_MsoNormal"">İş Tanımı:</p><ul color=""""><li>&nbsp; &nbsp; &nbsp; &nbsp;HACCP&nbsp; ve hijyen kurallarını çok iyi bilmek,</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Ürünlerin hazırlığında reçetelerde belirtilen standartlara uymak.</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Hazırlıkları kontrol etmek.</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Kullanılan ürünleri asgari kayıpla değerlendirmek.</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Makine ve malzemeleri özenle kullanmak.</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Meydana gelecek arızaları, bakım ve onarım ihtiyaçlarını Kısım Şefine bildirmek</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Mutfak güvenlik kurallarına uymak.</li><li>&nbsp; &nbsp; &nbsp; &nbsp;Çalışma alanının düzeni, temizliği ve hijyenini sağlamak.</li></ul>",Aşçılık
3411973,Oyun Ablası,"<p>Avm içerisinde bulunan çocuk oyun alanımızda ;çocuklarla vakit geçirmeyi seven ,çözüm odaklı ,hareketli oyun ablaları arıyoruz</p>",Evde Bakım Hizmetleri
3411882,Canlı Destek Elemanı,"<p class=""x_x_x_x_x_MsoNormal"">Şirketimiz, Doğu Avrupa çevrimiçi eğlence pazarının lideri olan uluslararası bir oyun markasıdır. Şirket, Türkiye, Avrupa, ABD ve Asya ülkelerindeki ofisleri, 1800'den fazla çalışanı ve 13 dahili geliştirme stüdyosunu birleştiriyor. Şirketimiz PC, konsol ve mobil cihazlar için oyunlar üretmektedir. Şirket 80'den fazla proje yürütüyor ve portföyünde toplamda 150'den fazla oyun var. Bunlar arasında War Robots, Hustle Castle, Left to Survive, Grand Hotel Mania ve ayrıca Skyforge, Allods Online, Legend: Legacy of the Dragons Warface, Arche Age, Perfect World, Revelation, Conqueror's Blade gibi kendi tasarımlarının hitleri yer alıyor, Kayıp Ark ve diğerleri. Toplamda, dünya çapında 770 milyondan fazla oyuncu şirketin oyunlarına kayıtlıdır.</p><p class=""x_x_x_x_x_MsoNormal"">Şirket içinde, herkesin en cüretkar profesyonel tutkularını gerçekleştirebilmesi ve yaratıcı potansiyellerini ortaya çıkarabilmesi için tüm koşullar yaratılmıştır. Şimdi Katılabilirsin !</p><p class=""x_x_x_x_x_MsoNormal""><strong>Görevler:</strong></p><ul><li>Oyun projelerimizin kullanıcılarının çeşitli sorunlarını İngilizce sohbet yoluyla çözmek;</li><li>Oyun hizmetlerinin durumunu izlemek;</li><li>Yabancı meslektaşları ile iletişim sürdürmek.</li></ul><p class=""x_x_x_x_x_MsoNormal""><strong>Gereksinimler:</strong></p><ul><li>Upper-Intermediate seviyesinde ve üzerinde İngilizce yeterliliği gereklidir;</li><li>Dikkat, öğrenme, dakiklik, çalışkanlık;</li><li>Düşüncelerini yazılı ve sözlü olarak yetkin ve net bir şekilde ifade etme becerisi;</li><li>MMOG'larda (Warface, ArcheAge, Lost Ark, Allods Online, Skyforge, World of Tanks, LineAge, vb.) veya mobil projelerde (Hustle Castle, Rush Royal, Hawk, War Robots) kapsamlı oyun deneyimi gereklidir;</li><li>Bilgisayar okuryazarlığı iyi düzeyde.</li></ul><p class=""x_x_x_x_x_MsoNormal""><strong>Ekstra gereksinimler olacak:</strong></p><ul><li>Ek bir yabancı dil bilgisi (Almanca, Fransızca);&nbsp;</li><li>Dil gereksinimleri zorunlu degildir .&nbsp; ( SADECE İNGİLİZCE ZORUNLUDUR )</li><li>Teknik destek konusunda 6 aylık deneyim.</li></ul><p class=""x_x_x_x_x_MsoNormal""><strong>Sunduklarımız:</strong></p><ul><li>Bir vardiya programında uzaktan çalışma formatı (2/2);</li><li>Benzer düşünen insanlardan oluşan profesyonel bir ekipte oyun geliştirmede çalışmaya başlama fırsatı;</li><li>Eğitim imkanı, ayrı bir mentor ve her an tüm soruları cevaplayan bir ekiple ortak sohbetler var;</li><li>Ana dili İngilizce olan kişilerle iletişim kurmada dil becerilerini geliştirme fırsatı.</li><li>1 ay Alanya ofiste eğitim verilecek ve eğitim süresince&nbsp; lojman sağlıyoruz.</li></ul>",Destek
3411864,Üretim Planlama Müdürü,"•Üniversitelerin Endüstri veya Kimya Mühendisliği bölümlerinden mezun •İlaç sektöründe benzer pozisyonda deneyimli •İyi derecede İngilizce bilen •MS Office Programlarına hakim •Yoğun çalışma temposuna ve esnek çalışma saatlerine uygun •Analitik, yaratıcı ve sonuç odaklı düşünce yapısına sahip •Çerkezköy İlaç üretim tesislerinde üretim planlama departmanında görevlendirilecek •Çerkezköy’de ikamet edecek •Erkek adaylar için, askerlik hizmetlerini tamamlamış",Acentecilik Hizmeti
3411804,Mutfak Stajyeri,"<p>2023 Yaz&nbsp;Dönemi (Mayıs- Ekim)&nbsp;içerisinde&nbsp;&nbsp;zorunlu staj&nbsp;kapsamında&nbsp;Mutfak Stajyeri&nbsp;arayışımız bulunmaktadır.&nbsp;Başvurulara ön yazı mutlaka eklenerek ,staj süresi ve staj tarih aralıkları belirtilmelidir.&nbsp;Belirtilmeyen adayların başvuruları değerlendirmeye alınmayacaktır.<br></p><p><strong>Genel Nitelikler</strong><br></p><ul><li>KKTC Üniversitelerinin Gastronomi veya Aşçılık bölümlerinde okuyan</li><li>Turizm sektöründe kariyer hedefi olan ve kendini bu alanda geliştirmek isteyen</li><li>Öğrenmeye açık, istikrarlı</li><li>Zorunlu stajı bulunan</li></ul><p><br></p>",Gıda
3411792,Komi,"<p>Merit Park Otel'de işe alınmak üzere aşağıdaki özelliklere sahip ""Komi"" takım arkadaşı aramaktayız.<br></p><p><strong>Genel Nitelikler</strong></p><ul><li>En az lise mezunu,</li><li>Dış görünümüne özen gösteren,</li><li>Takım çalışmasına yatkın,<br></li><li>İnsan ilişkilerinde başarılı,</li><li>Misafir memnuniyeti yaklaşımını ön planda tutan,<br></li></ul><p><br></p><p><strong>İş Tanımı</strong></p><ul><li>Serviste kullanılan, bardak, tabak, çatal, bıçak, kaşık, vs. tepsi gibi malzemelerin temizliğini yapar.</li><li>Soğuk ve sıcak içecek servisi konusunda bilgi sahibi olur.</li><li>Masa ve istasyonlardan boşları doğru toplar, doğru taşır&nbsp; ve kurallara uygun servis yapar.</li><li>Restaurant dolaplarını, rafları,&nbsp; sandalyeleri ve masaları temiz tutar.</li><li>Restaurant servis alanlarının ön ve arka hazırlıklarını yapar.</li></ul>",Mutfak Hizmetleri
3411753,Chef D Partie,"<p><br></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><br></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><br></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Bodrum'daki restaurantımız bünyesinde çalışacak takım arkadaşları arıyoruz...</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">&nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Restaurantımızda, “Casual Dining” konseptinde ''International Cuisine'' hizmeti verilmektedir.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">&nbsp;*Chef de Partie<font color=""#333333""><br></font></p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal""><font color=""#333333"">Tercihen ilgili bölümden mezun,<br>En az 4 yıl tecrübeli,<br></font>Bodrum'da İkamet eden,&nbsp;<br>Kariyerinde hedefleri olan, <br>Takım duygusu gelişmiş, <br>Yeniliklere ve gelişime açık,</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">İşini tutkuyla yapan takım arkadaşları arıyoruz.</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">&nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">İlgilenen adaylar özgeçmişleriyle birlikte, Kariyer.net üzerinden başvurabilirler. &nbsp;<br><br></p><p class=""x_x_x_x_x_x_x_x_x_x_MsoNormal""><br></p>",Aşçılık
3411747,Cafe Servis Elemanı,"<p>Kadıköy'de Yeni açılacak cafemizde servis elemanı olarak çalışacak, nitelikli, servis kurallarını bilen, deneyimli çalışma arkadaşı aranmaktayız.</p><p>çalışma saatleri vardiyalı olacaktır.</p><p>Hafta sonu ve akşam çalışma durumu mevcuttur.</p>",Restoran Hizmetleri
3411733,Salon Personeli,"<p class=""x_x_x_MsoNormal"">Bu ilanı gördüğüne göre Bağdat Caddesinin en popüler mekanlarından biri olan Strada’nın keyifli ve profesyonel çalışma fırsatına sahipsin.</p><p class=""x_x_x_MsoNormal"">Ailemizin bir parçası olarak çalışmak istiyor ve aradığımız nitelikleri karşılıyorsan başvurunu heyecanla bekliyoruz.</p><p class=""x_x_x_MsoNormal"">&nbsp;</p><p class=""x_x_x_MsoNormal"">Aranılan Nitelikler:</p><p class=""x_x_x_MsoNormal"">En az Lise mezunu</p><p class=""x_x_x_MsoNormal"">Benzer pozisyonlarda minimum 2 yıl deneyimli</p><p class=""x_x_x_MsoNormal"">İletişim becerileri güçlü, diksiyonu düzgün ve güler yüzlü</p><p class=""x_x_x_MsoNormal"">Prezantabl</p><p class=""x_x_x_MsoNormal"">Misafir memnuniyeti odaklı</p><p class=""x_x_x_MsoNormal"">İstanbul Anadolu yakasında ikamet eden</p><p></p><p class=""x_x_x_MsoNormal"">Erkek adaylar için tercihen askerliğini tamamlamış olan</p>",Hizmet
3411699,Temizlik Görevlisi,"<p>Kolejimizde görev almak üzere aşağıdaki nitelikleri taşıyan Temizlik Görevlisi arayışımız bulunmaktadır.<br>&nbsp;</p><ul color="""" color="""" color=""""><li>Kişisel hijyen ve bakımına özen gösteren,</li><li>Tercihen daha önce benzer bir pozisyonda görev almış,</li><li>Bina, sınıf, derslik, ofis temizliği yapabilecek,</li><li>Hijyen kurallarını bilen ve titizlikle uygulayan,</li><li>Sistemli, dikkatli ve titiz çalışma yeteneğine sahip,</li><li>Enerjik,&nbsp;çalışkan, pratik ve güler yüzlü&nbsp;</li></ul>",Temizlik Hizmetleri
3411694,Translator,"<p>We are seeking for a Spanish Interpreter for medical tourism company. Candidate will be translating and interpreting spoken or written communications between patients and healthcare providers.</p><p>Qualifications</p><ul><li>University degree</li><li>Experienced in verbal & written translation,</li><li>Good knowledge of MS Office programs,</li><li>Planning, organization and reporting skills,</li><li>Strong at human relations and team work,</li></ul><p>Interpreter will be responsible for:<br></p><ul><li>Participating in team meetings to discuss issues related to patient care</li><li>Translating and interpreting spoken or written communications between patients and healthcare providers</li><li>Maintaining confidentiality at all times,</li><li>Performing medical terminology research when needed to ensure accurate translation of terminologies used in medical fields</li><li>Communicating with patients in person or over the phone.</li><li>Explaining medical procedures and treatments to patients who do not understand English, such as those who speak another language or are illiterate</li><li>Using interpreters to help patients understand their medical conditions and treatment options</li><li>Providing cultural, medical, and social information regarding the language or culture being interpreted.</li></ul><p color=""""><br></p><p color="""">Job Types: Commission, Permanent, Work in place.<br></p><p color="""">If you want to work in this position, we are waiting your applications.<br></p>",Tercüme Hizmetleri
